team,year,gained_air,gained_after_catch,gained_run,lost_air,lost_after_catch,lost_run
GB,2019,1993.0,2009.0,204.0,2202.0,1791.0,148.0
CHI,2019,2024.0,1549.0,205.0,2018.0,1652.0,177.0
CAR,2019,2058.0,2064.0,131.0,2211.0,1782.0,244.0
LA,2019,2388.0,2250.0,53.0,2186.0,1742.0,229.0
WAS,2019,1745.0,1449.0,132.0,2173.0,1920.0,316.0
PHI,2019,2244.0,1819.0,252.0,2403.0,1717.0,222.0
BUF,2019,1961.0,1487.0,521.0,1741.0,1610.0,162.0
NYJ,2019,1702.0,1753.0,77.0,2194.0,1801.0,288.0
ATL,2019,3130.0,1916.0,156.0,2095.0,2012.0,295.0
MIN,2019,1818.0,1781.0,71.0,2277.0,1544.0,78.0
BAL,2019,1908.0,1444.0,1293.0,1789.0,1623.0,117.0
MIA,2019,2502.0,1594.0,272.0,2497.0,1651.0,142.0
KC,2019,2453.0,2214.0,233.0,1782.0,2064.0,274.0
JAX,2019,2074.0,1932.0,379.0,1937.0,2151.0,261.0
CLE,2019,1992.0,1835.0,144.0,1841.0,1680.0,421.0
TEN,2019,2100.0,1845.0,333.0,2418.0,1938.0,263.0
LAC,2019,2453.0,2195.0,43.0,1737.0,1637.0,234.0
IND,2019,1437.0,1505.0,237.0,2355.0,1846.0,187.0
CIN,2019,1834.0,1660.0,87.0,2146.0,1928.0,510.0
SEA,2019,2405.0,1705.0,357.0,2163.0,2244.0,356.0
TB,2019,3249.0,1860.0,266.0,2720.0,1888.0,221.0
SF,2019,1806.0,2172.0,78.0,1270.0,1769.0,382.0
DAL,2019,2984.0,1918.0,287.0,1864.0,1982.0,313.0
NYG,2019,2244.0,1820.0,291.0,2507.0,1953.0,249.0
DET,2019,2669.0,1499.0,257.0,2937.0,1773.0,220.0
ARI,2019,1882.0,1889.0,602.0,2473.0,2309.0,303.0
PIT,2019,1489.0,1690.0,134.0,1844.0,1219.0,217.0
NE,2019,2242.0,1829.0,46.0,1711.0,1478.0,236.0
NO,2019,2170.0,2248.0,203.0,2406.0,1760.0,220.0
HOU,2019,2265.0,1812.0,463.0,2310.0,2183.0,301.0
OAK,2019,1970.0,2131.0,89.0,2314.0,1926.0,218.0
DEN,2019,1382.0,1460.0,101.0,2052.0,1761.0,193.0
ATL,2018,2803.0,2141.0,132.0,2346.0,2026.0,403.0
PHI,2018,2382.0,2134.0,119.0,2448.0,2160.0,271.0
BAL,2018,2130.0,1567.0,762.0,1997.0,1630.0,202.0
BUF,2018,1572.0,1199.0,637.0,1559.0,1522.0,173.0
JAX,2018,1577.0,1842.0,494.0,1714.0,1640.0,488.0
NYG,2018,2147.0,2152.0,24.0,2383.0,1836.0,324.0
NO,2018,2276.0,1898.0,248.0,2650.0,1923.0,298.0
TB,2018,3581.0,1777.0,442.0,2482.0,1908.0,323.0
HOU,2018,2412.0,1753.0,560.0,2323.0,1991.0,274.0
NE,2018,2231.0,2131.0,45.0,2346.0,1736.0,309.0
MIN,2018,2345.0,1953.0,129.0,1708.0,1794.0,256.0
SF,2018,1931.0,2316.0,101.0,2041.0,1918.0,190.0
TEN,2018,1596.0,1558.0,366.0,2160.0,1556.0,278.0
MIA,2018,1486.0,1685.0,177.0,2019.0,2122.0,402.0
CIN,2018,1919.0,1650.0,235.0,2364.0,2159.0,348.0
IND,2018,2622.0,1980.0,164.0,1938.0,2091.0,190.0
PIT,2018,2351.0,2777.0,126.0,2418.0,1636.0,211.0
CLE,2018,2304.0,1896.0,268.0,2234.0,2136.0,334.0
LAC,2018,2189.0,2127.0,23.0,1891.0,1983.0,247.0
KC,2018,2503.0,2623.0,289.0,2638.0,2092.0,227.0
DEN,2018,2089.0,1799.0,101.0,2137.0,2101.0,111.0
SEA,2018,2063.0,1385.0,395.0,1947.0,2156.0,226.0
CAR,2018,2009.0,2012.0,554.0,2310.0,1697.0,258.0
DAL,2018,1993.0,1892.0,323.0,2125.0,1853.0,262.0
WAS,2018,1751.0,1525.0,367.0,1827.0,2264.0,269.0
ARI,2018,1599.0,1250.0,153.0,1710.0,1857.0,170.0
CHI,2018,2156.0,1582.0,442.0,1922.0,1688.0,138.0
GB,2018,2442.0,2187.0,316.0,2219.0,1798.0,202.0
NYJ,2018,1836.0,1568.0,183.0,2352.0,1991.0,373.0
DET,2018,1789.0,2047.0,94.0,2378.0,1508.0,134.0
OAK,2018,2073.0,1984.0,57.0,1907.0,1920.0,279.0
LA,2018,2558.0,2154.0,126.0,2222.0,1852.0,282.0
NE,2017,2654.0,1939.0,39.0,2369.0,1950.0,273.0
KC,2017,2192.0,2134.0,345.0,2168.0,1462.0,261.0
BUF,2017,1778.0,1308.0,521.0,2125.0,1725.0,147.0
NYJ,2017,655.0,504.0,194.0,2299.0,1609.0,322.0
WAS,2017,1953.0,2140.0,189.0,2087.0,1576.0,296.0
PHI,2017,2104.0,1322.0,342.0,1862.0,2040.0,260.0
OAK,2017,2076.0,1691.0,91.0,2224.0,1821.0,173.0
TEN,2017,2094.0,1300.0,325.0,2141.0,1951.0,157.0
JAX,2017,1776.0,1911.0,333.0,1739.0,1304.0,278.0
HOU,2017,2236.0,1408.0,329.0,2243.0,1720.0,274.0
ARI,2017,2499.0,1446.0,114.0,2127.0,1669.0,249.0
DET,2017,2347.0,2123.0,107.0,2059.0,2052.0,195.0
CLE,2017,1794.0,1743.0,492.0,1809.0,2044.0,209.0
PIT,2017,2334.0,2164.0,66.0,1884.0,1726.0,179.0
ATL,2017,2234.0,1861.0,153.0,1970.0,1759.0,365.0
CHI,2017,1685.0,1309.0,261.0,1813.0,1519.0,166.0
CIN,2017,1628.0,1750.0,117.0,1820.0,1793.0,280.0
BAL,2017,1697.0,1500.0,68.0,2094.0,1586.0,184.0
LA,2017,1925.0,2065.0,72.0,1963.0,1832.0,211.0
IND,2017,1580.0,1646.0,273.0,2354.0,1740.0,223.0
CAR,2017,1696.0,1623.0,777.0,886.0,873.0,233.0
SF,2017,2323.0,1912.0,164.0,2258.0,1675.0,259.0
GB,2017,1628.0,1894.0,404.0,2104.0,1917.0,220.0
SEA,2017,2368.0,1609.0,602.0,2215.0,1402.0,274.0
DAL,2017,1962.0,1347.0,378.0,1846.0,1900.0,226.0
NYG,2017,1953.0,1727.0,48.0,2064.0,2105.0,194.0
NO,2017,1965.0,2373.0,32.0,2000.0,1880.0,316.0
MIN,2017,1948.0,1981.0,180.0,1870.0,1419.0,190.0
DEN,2017,2041.0,1627.0,237.0,1784.0,1601.0,145.0
LAC,2017,2401.0,2150.0,13.0,1687.0,1484.0,238.0
TB,2017,2965.0,1648.0,218.0,2517.0,1738.0,307.0
MIA,2017,2111.0,1681.0,56.0,2067.0,1729.0,236.0
